brand,year,model,mileage,registration_time,price,warranty_time,city,link
库里南,2020款,Black Badge,0.7,2021,719.8,原厂质保期剩余8个月,大连,https://www.che168.com/dealer/195528/49045713.html#pvareaid=100334
库里南,2024款,四座版,1.47,2023,680,"原厂质保期剩余39个月, ",大连,https://www.che168.com/dealer/367534/50841956.html#pvareaid=100334
斯坦尼亚房车,2012款,4.0L 自动,8,2012,598,,大连,https://www.che168.com/dealer/118242/51378365.html#pvareaid=100334
古思特,2018款,6.6T 长轴距版,0.4,2019,368,,大连,https://www.che168.com/dealer/338748/51174525.html#pvareaid=100334
慕尚,2017款,6.8T 长轴距版,4,2019,290,,大连,https://www.che168.com/dealer/126692/50651600.html#pvareaid=100334
魅影,2014款,6.6T 美规版,2.7,2015,288,,大连,https://www.che168.com/dealer/367534/49019155.html#pvareaid=100334
添越,2021款,4.0T V8,1,2020,259,,大连,https://www.che168.com/dealer/126692/50469215.html#pvareaid=100334
法拉利488,2019款,488 Pista Spider,3,2018,238,,大连,https://www.che168.com/dealer/126692/51433458.html#pvareaid=100334
奔驰G级AMG,2021款,AMG G 63,1,2021,222,原厂质保期剩余1个月,大连,https://www.che168.com/dealer/338748/51285563.html#pvareaid=100334
古思特,2014款,6.6T 英骥典藏版,8.9,2015,219.8,,大连,https://www.che168.com/dealer/213752/50338902.html#pvareaid=100334
奔驰G级,2022款,G 500,1.3,2023,219.8,"原厂质保期剩余20个月, ",大连,https://www.che168.com/dealer/313534/50990705.html#pvareaid=100334
迈巴赫S级,2019款,S 680,7,2019,215,,大连,https://www.che168.com/dealer/195528/48851369.html#pvareaid=100334
添越,2018款,4.0T V8,5,2019,185,,大连,https://www.che168.com/dealer/126692/49881446.html#pvareaid=100334
古思特,2012款,6.6T 加长版,8,2011,175,,大连,https://www.che168.com/dealer/126692/51435387.html#pvareaid=100334
添越,2016款,6.0T 标准版,7,2018,165,,大连,https://www.che168.com/dealer/126692/51000687.html#pvareaid=100334
雷克萨斯LX,2022款,600 美规版,1.8,2023,158.8,,大连,https://www.che168.com/dealer/367534/51410806.html#pvareaid=100334
雷克萨斯LX,2022款,600 美规版,0.06,,148,,大连,https://www.che168.com/dealer/422942/49361352.html#pvareaid=100334
雷克萨斯LX,2019款,570 巅峰特别版,2,2019,146,,大连,https://www.che168.com/dealer/338748/51128992.html#pvareaid=100334
宝马7系,2019款,750Li xDrive V8 豪华套装,0.01,2023,145.58,"原厂质保期剩余17个月, ",大连,https://www.che168.com/dealer/141917/51492904.html#pvareaid=100334
添越,2018款,4.0T V8,9,2018,145,,大连,https://www.che168.com/dealer/126692/50999693.html#pvareaid=100334
揽胜,2024款,3.0 L6 360PS 盛世版,1.9,2023,139.8,"原厂质保期剩余28个月, ",大连,https://www.che168.com/dealer/367534/51107541.html#pvareaid=100334
雷克萨斯LX,2019款,570 巅峰特别版,11.45,2020,137.7,,大连,https://www.che168.com/dealer/554323/50700803.html#pvareaid=100334
揽胜,2021款,3.0 L6 50周年风云纪念版,4.1,2021,136.8,原厂质保期剩余2个月,大连,https://www.che168.com/dealer/367534/51356343.html#pvareaid=100334
迈巴赫S级,2023款,S 480 4MATIC,0.8,2022,135.8,"原厂质保期剩余16个月, ",大连,https://www.che168.com/dealer/313534/51022560.html#pvareaid=100334
迈巴赫GLS,2021款,GLS 480 4MATIC,6.12,2021,132.8,,大连,https://www.che168.com/dealer/367534/50869365.html#pvareaid=100334
飞驰,2017款,4.0T V8 S 标准版,8,2018,128,,大连,https://www.che168.com/dealer/126692/51269804.html#pvareaid=100334
揽胜,2020款,3.0 L6 尊崇创世加长版,2,2020,125,,大连,https://www.che168.com/dealer/338748/51129262.html#pvareaid=100334
雷克萨斯LX,2019款,570 尊贵豪华版,3,2019,125,,大连,https://www.che168.com/dealer/338748/51128755.html#pvareaid=100334
Panamera,2023款,Panamera 4 行政加长版 2.9T,0.5,2023,125,"原厂质保期剩余25个月, ",大连,https://www.che168.com/dealer/515827/51208773.html#pvareaid=100334
飞驰,2017款,4.0T V8 S 标准版,10,2017,123.8,,大连,https://www.che168.com/dealer/76347/50599122.html#pvareaid=100334
Panamera新能源,2023款,Panamera 4 E-Hybrid 2.9T,0.08,2023,123,,大连,https://www.che168.com/dealer/577309/51117412.html#pvareaid=100334
雷克萨斯LX,2017款,570 尊贵豪华版,12,2019,123,,大连,https://www.che168.com/dealer/76347/50382854.html#pvareaid=100334
雷克萨斯LX,2019款,570 尊贵豪华版,6.4,2020,122.8,,大连,https://www.che168.com/dealer/367534/51421605.html#pvareaid=100334
雷克萨斯LX,2019款,570 巅峰特别版,9,2019,118.5,,大连,https://www.che168.com/dealer/519280/50831571.html#pvareaid=100334
飞驰,2014款,4.0T V8 尊贵版,6,2016,118,,大连,https://www.che168.com/dealer/126692/50999749.html#pvareaid=100334
法拉利458,2014款,4.5L Speciale,5,2013,118,,大连,https://www.che168.com/dealer/118242/51283758.html#pvareaid=100334
揽胜,2020款,3.0 L6 传世加长版,3,2020,110,,大连,https://www.che168.com/dealer/598821/51270356.html#pvareaid=100334
雷克萨斯LM,2020款,300h 七座隽雅版,6.61,2020,106.8,原厂质保期剩余23个月,大连,https://www.che168.com/dealer/367534/49332601.html#pvareaid=100334
揽胜,2020款,3.0 L6 传世加长版,7.1,2020,106.8,,大连,https://www.che168.com/dealer/520234/51084249.html#pvareaid=100334
飞驰,2013款,6.0T W12 尊贵版,6.7,2014,105.8,,大连,https://www.che168.com/dealer/195528/50791911.html#pvareaid=100334
奔驰G级,2017款,G 500,1.54,2019,105,,大连,https://www.che168.com/dealer/351179/51263437.html#pvareaid=100334
奔驰S级,2023款,改款 S 450 L 4MATIC,0.6,2023,104.8,"原厂质保期剩余22个月, ",大连,https://www.che168.com/dealer/70189/51538173.html#pvareaid=100334
奔驰S级,2022款,S 450 L 4MATIC,0.71,2023,102.8,"原厂质保期剩余21个月, ",大连,https://www.che168.com/dealer/367534/51165818.html#pvareaid=100334
领航员,2022款,3.5T 总统版,0.3,2023,100.8,"原厂质保期剩余23个月, ",大连,https://www.che168.com/dealer/367534/49389798.html#pvareaid=100334
